Date,DP_1,OA_Enth,OAT,Return_Temp,Supply_Temp
4/27/2020 07:50:00 AM CDT,6.7,14.012603,51.1,67.399994,67.399994
4/27/2020 07:55:00 AM CDT,6.9,14.179705,51.8,67.399994,66.5
4/27/2020 08:00:00 AM CDT,7.2,14.322933,52.4,66.299995,66
4/27/2020 08:05:00 AM CDT,7.3,14.442291,52.9,66.299995,66.799995
4/27/2020 08:10:00 AM CDT,7.4,14.58552,53.5,67,66.399994
4/27/2020 08:15:00 AM CDT,7.4,14.633263,53.7,67,66.2
4/27/2020 08:20:00 AM CDT,7.6,15.20618,56.1,66.5,66.5
4/27/2020 08:25:00 AM CDT,7.7,15.373281,56.8,66.5,66.5
4/27/2020 08:30:00 AM CDT,7.7,15.34941,56.7,66.299995,66.2
4/27/2020 08:35:00 AM CDT,7.7,15.635869,57.9,66.299995,66.5
4/27/2020 08:40:00 AM CDT,7.8,15.731355,58.3,66.7,66.399994
4/27/2020 08:45:00 AM CDT,7.8,15.707483,58.2,66.7,66.299995
4/27/2020 08:50:00 AM CDT,7.8,15.468768,57.2,66.59375,66.399994
4/27/2020 08:55:00 AM CDT,7.8,15.564254,57.6,66.59375,66.399994
4/27/2020 09:00:00 AM CDT,7.8,15.755227,58.4,66.5,66.399994
4/27/2020 09:05:00 AM CDT,7.8,15.611997,57.8,66.5,66.399994
4/27/2020 09:10:00 AM CDT,7.8,15.540381,57.5,66.5,66.299995
4/27/2020 09:15:00 AM CDT,7.8,15.421025,57,66.5,66.299995
4/27/2020 09:20:00 AM CDT,7.8,15.373281,56.8,66.399994,66.299995
4/27/2020 09:25:00 AM CDT,7.8,15.373281,56.8,66.399994,66.299995
4/27/2020 09:30:00 AM CDT,7.8,15.373281,56.8,66.399994,66.2
4/27/2020 09:35:00 AM CDT,7.8,15.397153,56.9,66.399994,66.299995
4/27/2020 09:40:00 AM CDT,7.8,15.421025,57,66.5,66.2
4/27/2020 09:45:00 AM CDT,7.8,15.421025,57,66.5,66.2
4/27/2020 09:50:00 AM CDT,7.8,15.421025,57,66.399994,66.299995
4/27/2020 09:55:00 AM CDT,7.8,15.397153,56.9,66.399994,66.2
4/27/2020 10:00:00 AM CDT,7.8,15.444896,57.1,66.5,66.299995
4/27/2020 10:05:00 AM CDT,7.7,15.444896,57.1,66.5,66.299995
4/27/2020 10:10:00 AM CDT,7.7,15.468768,57.2,66.5,66.299995
4/27/2020 10:15:00 AM CDT,7.7,15.492639,57.3,66.5,66.2
4/27/2020 10:20:00 AM CDT,38,15.468768,57.2,66.399994,65.799995
4/27/2020 10:25:00 AM CDT,37.9,15.468768,57.2,66.399994,66.1
4/27/2020 10:30:00 AM CDT,37.7,15.492639,57.3,66.299995,66.299995
4/27/2020 10:35:00 AM CDT,0.1,15.516511,57.4,66.299995,66.399994
4/27/2020 10:40:00 AM CDT,0.1,15.468768,57.2,66.5,66.299995
4/27/2020 10:45:00 AM CDT,0.1,15.397153,56.9,66.5,66.2
4/27/2020 10:50:00 AM CDT,0.1,15.421025,57,66.399994,66.2
4/27/2020 10:55:00 AM CDT,0.1,15.468768,57.2,66.399994,66.2
4/27/2020 11:00:00 AM CDT,0.1,15.492639,57.3,66.299995,66.1
4/27/2020 11:05:00 AM CDT,0.1,15.492639,57.3,66.299995,66.1
4/27/2020 11:10:00 AM CDT,0.1,15.492639,57.3,66.1,66
4/27/2020 11:15:00 AM CDT,0.1,15.516511,57.4,66.1,66.1
4/27/2020 11:20:00 AM CDT,0.1,15.492639,57.3,66.2,66.1
4/27/2020 11:25:00 AM CDT,0.1,15.468768,57.2,66.2,66.1
4/27/2020 11:30:00 AM CDT,0.1,15.421025,57,66,66
4/27/2020 11:35:00 AM CDT,0.1,15.34941,56.7,66,65.89844
4/27/2020 11:40:00 AM CDT,0.1,15.301667,56.5,66,65.89844
4/27/2020 11:45:00 AM CDT,0.1,15.301667,56.5,66,65.799995
4/27/2020 11:50:00 AM CDT,0.1,15.301667,56.5,66,65.89844
4/27/2020 11:55:00 AM CDT,0.1,15.325538,56.6,66,65.799995
4/27/2020 12:00:00 PM CDT,0.1,15.34941,56.7,65.89844,65.7
4/27/2020 12:05:00 PM CDT,0.1,15.373281,56.8,65.89844,65.7
4/27/2020 12:10:00 PM CDT,0.1,15.325538,56.6,65.799995,65.799995
4/27/2020 12:15:00 PM CDT,0.1,15.230052,56.2,65.799995,65.7
4/27/2020 12:20:00 PM CDT,0.1,15.182309,56,65.59375,65.7
4/27/2020 12:25:00 PM CDT,0.1,15.158439,55.9,65.59375,65.59375
4/27/2020 12:30:00 PM CDT,0.1,15.086823,55.6,65.7,65.399994
4/27/2020 12:35:00 PM CDT,0.1,15.086823,55.6,65.7,65.5
4/27/2020 12:40:00 PM CDT,0.1,15.039081,55.4,65.5,65.299995
4/27/2020 12:45:00 PM CDT,0.1,15.039081,55.4,65.5,65.399994
4/27/2020 12:50:00 PM CDT,0.1,15.039081,55.4,65.399994,65.299995
4/27/2020 12:55:00 PM CDT,0.1,14.967465,55.1,65.399994,65.399994
4/27/2020 01:00:00 PM CDT,0.1,14.991338,55.2,65.299995,65.299995
4/27/2020 01:05:00 PM CDT,0.1,14.919723,54.9,65.299995,65.2
4/27/2020 01:10:00 PM CDT,0.1,14.704878,54,65.2,65.299995
4/27/2020 01:15:00 PM CDT,0.1,14.58552,53.5,65.2,65.1
4/27/2020 01:20:00 PM CDT,0.1,14.633263,53.7,65.1,65.1
4/27/2020 01:25:00 PM CDT,0.1,14.609392,53.6,65.1,65
4/27/2020 01:30:00 PM CDT,0.1,14.466162,53,64.799995,65.1
4/27/2020 01:35:00 PM CDT,0.1,14.394548,52.7,64.799995,64.89844
4/27/2020 01:40:00 PM CDT,0.1,14.442291,52.9,64.799995,64.89844
4/27/2020 01:45:00 PM CDT,0.1,14.5139065,53.2,64.799995,64.799995
4/27/2020 01:50:00 PM CDT,0.1,14.537777,53.3,64.59375,64.89844
4/27/2020 01:55:00 PM CDT,0.1,14.537777,53.3,64.59375,64.89844
4/27/2020 02:00:00 PM CDT,0.1,14.370676,52.6,64.59375,64.7
4/27/2020 02:05:00 PM CDT,0.1,14.299061,52.3,64.59375,64.7
4/27/2020 02:10:00 PM CDT,0.1,14.299061,52.3,64.59375,64.59375
4/27/2020 02:15:00 PM CDT,0.1,14.27519,52.2,64.59375,64.7
4/27/2020 02:20:00 PM CDT,0.1,14.251318,52.1,64.299995,64.59375
4/27/2020 02:25:00 PM CDT,0.1,14.322933,52.4,64.299995,64.59375
