Date,kW
1/1/2020 0:00,202.15
1/1/2020 0:15,196.842
1/1/2020 0:30,206.122
1/1/2020 0:45,205.005
1/1/2020 1:00,193.745
1/1/2020 1:15,196.186
1/1/2020 1:30,193.089
1/1/2020 1:45,202.094
1/1/2020 2:00,210.157
1/1/2020 2:15,194.081
1/1/2020 2:30,203.746
1/1/2020 2:45,217.426
1/1/2020 3:00,213.424
1/1/2020 3:15,208.639
1/1/2020 3:30,200.36
1/1/2020 3:45,204.07
1/1/2020 4:00,213.535
1/1/2020 4:15,199.072
1/1/2020 4:30,211.438
1/1/2020 4:45,216.997
1/1/2020 5:00,210.274
1/1/2020 5:15,215.632
1/1/2020 5:30,199.561
1/1/2020 5:45,203.465
1/1/2020 6:00,212.352
1/1/2020 6:15,204.598
1/1/2020 6:30,208.711
1/1/2020 6:45,197.755
1/1/2020 7:00,190.622
1/1/2020 7:15,215.516
1/1/2020 7:30,211.046
1/1/2020 7:45,199.976
1/1/2020 8:00,196.278
1/1/2020 8:15,179.509
1/1/2020 8:30,188.648
1/1/2020 8:45,198.026
1/1/2020 9:00,166.324
1/1/2020 9:15,156.882
1/1/2020 9:30,183.769
1/1/2020 9:45,160.044
1/1/2020 10:00,138.872
1/1/2020 10:15,150.791
1/1/2020 10:30,152.569
1/1/2020 10:45,124.365
1/1/2020 11:00,156.05
1/1/2020 11:15,151.555
1/1/2020 11:30,141.273
1/1/2020 11:45,144.827
1/1/2020 12:00,160.941
1/1/2020 12:15,148.308
1/1/2020 12:30,157.609
1/1/2020 12:45,145.976
1/1/2020 13:00,139.281
1/1/2020 13:15,126.756
1/1/2020 13:30,137.828
1/1/2020 13:45,111.717
1/1/2020 14:00,98.134
1/1/2020 14:15,97.877
1/1/2020 14:30,96.875
1/1/2020 14:45,94.262
1/1/2020 15:00,95.956
1/1/2020 15:15,117.524
1/1/2020 15:30,111.343
1/1/2020 15:45,116.242
1/1/2020 16:00,121.704
1/1/2020 16:15,119.275
1/1/2020 16:30,130.884
1/1/2020 16:45,151.667
1/1/2020 17:00,152.328
1/1/2020 17:15,143.178
1/1/2020 17:30,148.999
1/1/2020 17:45,164.476
1/1/2020 18:00,158.463
1/1/2020 18:15,166.048
1/1/2020 18:30,166.344
1/1/2020 18:45,158.175
1/1/2020 19:00,152.045
1/1/2020 19:15,149.275
1/1/2020 19:30,164.677
1/1/2020 19:45,163.53
1/1/2020 20:00,166.713
1/1/2020 20:15,167.284
1/1/2020 20:30,167.508
1/1/2020 20:45,174.164
1/1/2020 21:00,163.052
1/1/2020 21:15,159.89
1/1/2020 21:30,173.473
1/1/2020 21:45,174.025
1/1/2020 22:00,172.676
1/1/2020 22:15,193.872
1/1/2020 22:30,181.653
1/1/2020 22:45,165.178
1/1/2020 23:00,179.412
1/1/2020 23:15,170.835
1/1/2020 23:30,185.31
1/1/2020 23:45,183.945
1/2/2020 0:00,183.439
1/2/2020 0:15,184.39
1/2/2020 0:30,174.982
1/2/2020 0:45,170.756
1/2/2020 1:00,190.33
1/2/2020 1:15,188.12
1/2/2020 1:30,167.896
1/2/2020 1:45,185.564
1/2/2020 2:00,189.431
1/2/2020 2:15,188.203
1/2/2020 2:30,190.876
1/2/2020 2:45,182.428
1/2/2020 3:00,175.381
1/2/2020 3:15,175.184
1/2/2020 3:30,179
1/2/2020 3:45,180.213
1/2/2020 4:00,197.921
1/2/2020 4:15,188.105
1/2/2020 4:30,193.298
1/2/2020 4:45,182.797
1/2/2020 5:00,197.706
1/2/2020 5:15,188.919
1/2/2020 5:30,363.702
1/2/2020 5:45,827.05
1/2/2020 6:00,870.934
1/2/2020 6:15,878.908
1/2/2020 6:30,844.783
1/2/2020 6:45,809.958
1/2/2020 7:00,821.165
1/2/2020 7:15,809.528
1/2/2020 7:30,804.021
1/2/2020 7:45,786.201
1/2/2020 8:00,774.688
1/2/2020 8:15,765.369
1/2/2020 8:30,744.852
1/2/2020 8:45,745.78
1/2/2020 9:00,746.365
1/2/2020 9:15,733.64
1/2/2020 9:30,734.773
1/2/2020 9:45,703.864
1/2/2020 10:00,666.669
1/2/2020 10:15,652.27
1/2/2020 10:30,608.264
1/2/2020 10:45,568.662
1/2/2020 11:00,577.373
1/2/2020 11:15,552.428
1/2/2020 11:30,537.068
1/2/2020 11:45,520.469
1/2/2020 12:00,505.913
1/2/2020 12:15,505.819
1/2/2020 12:30,488.815
1/2/2020 12:45,489.586
1/2/2020 13:00,493.111
1/2/2020 13:15,507.43
1/2/2020 13:30,471.161
1/2/2020 13:45,483.323
1/2/2020 14:00,498.553
1/2/2020 14:15,467.841
1/2/2020 14:30,466.84
1/2/2020 14:45,429.747
1/2/2020 15:00,436.501
1/2/2020 15:15,487.057
1/2/2020 15:30,441.182
1/2/2020 15:45,446.39
1/2/2020 16:00,459.137
1/2/2020 16:15,466.546
1/2/2020 16:30,468.268
1/2/2020 16:45,490.78
1/2/2020 17:00,483.351
1/2/2020 17:15,366.451
1/2/2020 17:30,182.049
1/2/2020 17:45,190.095
1/2/2020 18:00,176.797
1/2/2020 18:15,180.627
1/2/2020 18:30,167.919
1/2/2020 18:45,149.091
1/2/2020 19:00,180.824
1/2/2020 19:15,162.083
1/2/2020 19:30,163.826
1/2/2020 19:45,167.517
1/2/2020 20:00,159.746
1/2/2020 20:15,146.7
1/2/2020 20:30,167.384
1/2/2020 20:45,167.477
1/2/2020 21:00,167.949
1/2/2020 21:15,189.273
1/2/2020 21:30,186.823
1/2/2020 21:45,188.121
1/2/2020 22:00,163.198
1/2/2020 22:15,178.757
1/2/2020 22:30,170.549
1/2/2020 22:45,165.093
1/2/2020 23:00,184.314
1/2/2020 23:15,183.959
1/2/2020 23:30,179.755
1/2/2020 23:45,184.21
1/3/2020 0:00,180.261
1/3/2020 0:15,173.851
1/3/2020 0:30,180.928
1/3/2020 0:45,171.859
1/3/2020 1:00,172.685
1/3/2020 1:15,180.254
1/3/2020 1:30,192.065
1/3/2020 1:45,184.597
1/3/2020 2:00,198.725
1/3/2020 2:15,205.543
1/3/2020 2:30,196.648
1/3/2020 2:45,199.547
1/3/2020 3:00,202.619
1/3/2020 3:15,206.477
1/3/2020 3:30,202.742
1/3/2020 3:45,204.355
1/3/2020 4:00,207.765
1/3/2020 4:15,199.046
1/3/2020 4:30,207.599
1/3/2020 4:45,207.567
1/3/2020 5:00,213.84
1/3/2020 5:15,220.95
1/3/2020 5:30,222.153
1/3/2020 5:45,224.293
1/3/2020 6:00,477.035
1/3/2020 6:15,840.316
1/3/2020 6:30,895.925
1/3/2020 6:45,901.871
1/3/2020 7:00,864.316
1/3/2020 7:15,850.501
1/3/2020 7:30,800.377
1/3/2020 7:45,791.181
1/3/2020 8:00,777.749
1/3/2020 8:15,754.971
1/3/2020 8:30,725.876
1/3/2020 8:45,733.03
1/3/2020 9:00,703.372
1/3/2020 9:15,684.096
1/3/2020 9:30,647.576
1/3/2020 9:45,633.491
1/3/2020 10:00,622.519
1/3/2020 10:15,582.909
1/3/2020 10:30,564.091
1/3/2020 10:45,560.707
1/3/2020 11:00,509.632
1/3/2020 11:15,533.422
1/3/2020 11:30,570.624
1/3/2020 11:45,544.152
1/3/2020 12:00,553.085
1/3/2020 12:15,527.159
1/3/2020 12:30,538.186
1/3/2020 12:45,526.393
1/3/2020 13:00,477.512
1/3/2020 13:15,486.877
1/3/2020 13:30,513.417
1/3/2020 13:45,475.527
1/3/2020 14:00,467.069
1/3/2020 14:15,467.142
1/3/2020 14:30,450.413
1/3/2020 14:45,421.587
1/3/2020 15:00,431.284
1/3/2020 15:15,437.551
1/3/2020 15:30,427.413
1/3/2020 15:45,446.836
1/3/2020 16:00,443.932
1/3/2020 16:15,474.77
1/3/2020 16:30,481.078
1/3/2020 16:45,489.559
1/3/2020 17:00,519.046
1/3/2020 17:15,366.442
1/3/2020 17:30,184.711
1/3/2020 17:45,165.815
1/3/2020 18:00,168.408
1/3/2020 18:15,145.886
1/3/2020 18:30,149.957
1/3/2020 18:45,153.743
1/3/2020 19:00,158.519
1/3/2020 19:15,156.447
1/3/2020 19:30,164.774
1/3/2020 19:45,155.417
1/3/2020 20:00,142.047
1/3/2020 20:15,155.913
1/3/2020 20:30,145.29
1/3/2020 20:45,166.404
1/3/2020 21:00,150.904
1/3/2020 21:15,161.544
1/3/2020 21:30,159.924
1/3/2020 21:45,163.268
1/3/2020 22:00,162.111
1/3/2020 22:15,179.031
1/3/2020 22:30,159.98
1/3/2020 22:45,173.672
1/3/2020 23:00,165.893
1/3/2020 23:15,166.086
1/3/2020 23:30,179.71
1/3/2020 23:45,168.212
1/4/2020 0:00,171.371
1/4/2020 0:15,182.54
1/4/2020 0:30,184.183
1/4/2020 0:45,188.162
1/4/2020 1:00,181.993
1/4/2020 1:15,183.921
1/4/2020 1:30,185.673
1/4/2020 1:45,180.615
1/4/2020 2:00,191.564
1/4/2020 2:15,188.574
1/4/2020 2:30,192.437
1/4/2020 2:45,186.544
1/4/2020 3:00,182.002
1/4/2020 3:15,191.994
1/4/2020 3:30,190.727
1/4/2020 3:45,185.002
1/4/2020 4:00,202.115
1/4/2020 4:15,196.608
1/4/2020 4:30,185.896
1/4/2020 4:45,189.505
1/4/2020 5:00,201.83
1/4/2020 5:15,198.14
1/4/2020 5:30,191.265
1/4/2020 5:45,188.584
1/4/2020 6:00,473.391
1/4/2020 6:15,793.935
1/4/2020 6:30,865.264
1/4/2020 6:45,826.825
1/4/2020 7:00,817.472
1/4/2020 7:15,769.259
1/4/2020 7:30,739.871
1/4/2020 7:45,733.55
1/4/2020 8:00,715.129
1/4/2020 8:15,694.07
1/4/2020 8:30,661.5
1/4/2020 8:45,678.881
1/4/2020 9:00,636.798
1/4/2020 9:15,607.149
1/4/2020 9:30,606.576
1/4/2020 9:45,554.752
1/4/2020 10:00,536.981
1/4/2020 10:15,521.001
1/4/2020 10:30,472.432
1/4/2020 10:45,424.653
1/4/2020 11:00,427.067
1/4/2020 11:15,442.011
1/4/2020 11:30,415.813
1/4/2020 11:45,428.296
1/4/2020 12:00,419.958
1/4/2020 12:15,383.98
1/4/2020 12:30,393.345
1/4/2020 12:45,357.253
1/4/2020 13:00,369.919
1/4/2020 13:15,339.462
1/4/2020 13:30,328.871
1/4/2020 13:45,326.201
1/4/2020 14:00,288.041
1/4/2020 14:15,174.954
1/4/2020 14:30,90.957
1/4/2020 14:45,71.833
1/4/2020 15:00,82.4
1/4/2020 15:15,69.858
1/4/2020 15:30,81.189
1/4/2020 15:45,82.115
1/4/2020 16:00,91.834
