,Delta
2020-04-27 07:00:00,0.4499969999999962
2020-04-27 08:00:00,0.18229283333333512
2020-04-27 09:00:00,0.16666716666665593
2020-04-27 10:00:00,0.2166668333333206
2020-04-27 11:00:00,0.11705666666665593
2020-04-27 12:00:00,0.10755341666667563
2020-04-27 13:00:00,-0.0755229166666993
2020-04-27 14:00:00,-0.16718641666665235
2020-04-27 15:00:00,-0.4091159166666571
2020-04-27 16:00:00,-0.5244785000000007
2020-04-27 17:00:00,-0.6187501666666861
2020-04-27 18:00:00,-0.7076829999999745
2020-04-27 19:00:00,-0.8069000000000129
2020-04-27 20:00:00,-0.8739588333333188
2020-04-27 21:00:00,-0.8998703333333324
2020-04-27 22:00:00,-1.0320316666666756
2020-04-27 23:00:00,-1.10000041666666
2020-04-28 00:00:00,-1.2011718333333192
2020-04-28 01:00:00,-1.2656244166666468
2020-04-28 02:00:00,-1.3427086666666597
2020-04-28 03:00:00,-1.4820311666666726
2020-04-28 04:00:00,-1.5080738333333343
2020-04-28 05:00:00,-1.64140574999999
2020-04-28 06:00:00,-1.7247384999999866
2020-04-28 07:00:00,-1.822396583333329
2020-04-28 08:00:00,-1.9010403333333272
2020-04-28 09:00:00,-2.0920575000000103
2020-04-28 10:00:00,-2.0085930833333383
2020-04-28 11:00:00,-1.3669269166666569
2020-04-28 12:00:00,-1.1082032500000096
2020-04-28 13:00:00,-0.95000091666666
2020-04-28 14:00:00,-1.0075520833333371
2020-04-28 15:00:00,-1.2507802500000196
2020-04-28 16:00:00,-1.2749999999999986
2020-04-28 17:00:00,-1.3125
2020-04-28 18:00:00,-1.489062749999981
2020-04-28 19:00:00,-1.5145824166666628
2020-04-28 20:00:00,-1.5765631666666806
2020-04-28 21:00:00,-1.6412764999999825
2020-04-28 22:00:00,-1.7664064166666549
2020-04-28 23:00:00,-1.8583333333333272
2020-04-29 00:00:00,-1.9661454999999959
2020-04-29 01:00:00,-1.9999990833333212
2020-04-29 02:00:00,-2.000390250000009
2020-04-29 03:00:00,-1.8989581666666735
2020-04-29 04:00:00,-1.8757807499999968
2020-04-29 05:00:00,-1.8492188333333248
2020-04-29 06:00:00,-1.8334633333333272
2020-04-29 07:00:00,-1.8096354999999849
2020-04-29 08:00:00,-1.8082034166666645
2020-04-29 09:00:00,-1.7161456666666766
2020-04-29 10:00:00,-1.6408855833333504
2020-04-29 11:00:00,-1.6356764166666764
2020-04-29 12:00:00,-1.583203500000003
2020-04-29 13:00:00,-1.5270835833333365
2020-04-29 14:00:00,-1.5072930833333515
2020-04-29 15:00:00,-1.407812666666672
2020-04-29 16:00:00,-1.3421853333333331
2020-04-29 17:00:00,-1.2501325000000063
2020-04-29 18:00:00,-1.2985677500000037
2020-04-29 19:00:00,-1.1140628333333424
2020-04-29 20:00:00,-1.091146666666667
2020-04-29 21:00:00,-0.9999990833333356
2020-04-29 22:00:00,-0.983072749999991
2020-04-29 23:00:00,-0.9667965833333412
2020-04-30 00:00:00,-0.9072921666666574
2020-04-30 01:00:00,-0.9171873333333238
2020-04-30 02:00:00,-0.8583340000000135
2020-04-30 03:00:00,-0.8244793333333362
2020-04-30 04:00:00,-0.8559897499999921
2020-04-30 05:00:00,-0.8854162500000129
2020-04-30 06:00:00,-0.8998698333333337
2020-04-30 07:00:00,-0.8907554999999903
2020-04-30 08:00:00,-0.9082035833333392
2020-04-30 09:00:00,-1.1421868333333407
2020-04-30 10:00:00,-1.2083334166666546
2020-04-30 11:00:00,-0.9920569166666696
2020-04-30 12:00:00,-1.0076827499999863
2020-04-30 13:00:00,-1.0175783333333257
2020-04-30 14:00:00,-1.1415362500000157
2020-04-30 15:00:00,-1.0243490000000008
2020-04-30 16:00:00,-1.0244782499999872
2020-04-30 17:00:00,-1.4317710833333308
2020-04-30 18:00:00,-1.6910157499999912
2020-04-30 19:00:00,-1.710416083333314
2020-04-30 20:00:00,-1.8093752499999953
2020-04-30 21:00:00,-1.891666750000006
2020-04-30 22:00:00,-2.073958749999996
2020-04-30 23:00:00,-2.182291333333332
2020-05-01 00:00:00,-2.3266925833333403
2020-05-01 01:00:00,-2.4164066666666884
2020-05-01 02:00:00,-2.5654947500000134
2020-05-01 03:00:00,-2.6269535833333397
2020-05-01 04:00:00,-2.674479083333324
2020-05-01 05:00:00,-2.7244786666666627
2020-05-01 06:00:00,-2.609245416666681
2020-05-01 07:00:00,-2.558073750000005
2020-05-01 08:00:00,-2.4091154166666726
2020-05-01 09:00:00,-2.375130083333339
2020-05-01 10:00:00,-1.865884833333325
2020-05-01 11:00:00,-1.4183590833333142
2020-05-01 12:00:00,-1.325520333333337
2020-05-01 13:00:00,3.3339823333333314
2020-05-01 14:00:00,-0.07395850000000337
2020-05-01 15:00:00,-0.22617158333332554
2020-05-01 16:00:00,-0.5585939166666876
2020-05-01 17:00:00,-0.6582030833333476
2020-05-01 18:00:00,-0.8328120833333301
2020-05-01 19:00:00,-0.9087232499999872
2020-05-01 20:00:00,-0.9583332500000026
2020-05-01 21:00:00,-1.0031242500000062
2020-05-01 22:00:00,-1.0324227499999878
2020-05-01 23:00:00,-1.0843746666666692
2020-05-02 00:00:00,-1.099998499999991
2020-05-02 01:00:00,-1.166665166666661
2020-05-02 02:00:00,-1.191925249999997
2020-05-02 03:00:00,-1.242185583333324
2020-05-02 04:00:00,-1.2593719166666515
2020-05-02 05:00:00,-1.1924464166666835
2020-05-02 06:00:00,-1.1843744166666852
2020-05-02 07:00:00,-1.1841138333333348
2020-05-02 08:00:00,-1.0744795833333356
2020-05-02 09:00:00,-1.0756510833333266
2020-05-02 10:00:00,-0.6334635833333238
2020-05-02 11:00:00,1.7417976666666632
2020-05-02 12:00:00,0.6589836666666571
2020-05-02 13:00:00,0.4752605833333306
2020-05-02 14:00:00,0.31393216666667456
2020-05-02 15:00:00,0.5239580833333335
2020-05-02 16:00:00,0.032422583333335815
2020-05-02 17:00:00,0.4842452499999936
2020-05-02 18:00:00,0.10716216666668288
2020-05-02 19:00:00,0.3325517499999933
2020-05-02 20:00:00,-0.1837243333333234
2020-05-02 21:00:00,-0.6746091666666629
2020-05-02 22:00:00,-0.9756505000000076
2020-05-02 23:00:00,-1.092057416666684
2020-05-03 00:00:00,-1.1578123333333394
2020-05-03 01:00:00,-1.1255216666666712
2020-05-03 02:00:00,-1.1830727500000149
2020-05-03 03:00:00,-1.2507802500000054
2020-05-03 04:00:00,-1.3507790000000028
2020-05-03 05:00:00,-1.4510424166666884
2020-05-03 06:00:00,-1.4333350833333398
2020-05-03 07:00:00,-1.3583340000000137
2020-05-03 08:00:00,-1.2651039166666465
2020-05-03 09:00:00,-1.6490885833333309
2020-05-03 10:00:00,-2.0417968333333363
2020-05-03 11:00:00,0.8427081666666609
2020-05-03 12:00:00,0.483463416666666
2020-05-03 13:00:00,-0.18463516666665925
2020-05-03 14:00:00,0.5079421666666589
2020-05-03 15:00:00,0.4661461666666682
2020-05-03 16:00:00,0.4428390833333395
2020-05-03 17:00:00,0.3739586666666597
2020-05-03 18:00:00,-0.16640574999998847
2020-05-03 19:00:00,0.5167974166666696
2020-05-03 20:00:00,-0.30039100000001184
2020-05-03 21:00:00,-0.5756514999999922
2020-05-03 22:00:00,-0.7187498333333266
2020-05-03 23:00:00,-0.7593744166666738
2020-05-04 00:00:00,-0.8078136666666609
2020-05-04 01:00:00,-1.0161464999999978
2020-05-04 02:00:00,-1.2002606666666793
2020-05-04 03:00:00,-1.2983074166666595
2020-05-04 04:00:00,-1.4180991666666785
2020-05-04 05:00:00,-1.481640916666663
2020-05-04 06:00:00,-1.5346340833333372
2020-05-04 07:00:00,-1.5329441666666597
2020-05-04 08:00:00,-1.4734380833333276
2020-05-04 09:00:00,-1.349479499999994
2020-05-04 10:00:00,-1.1166670000000067
2020-05-04 11:00:00,-0.8671868333333279
2020-05-04 12:00:00,-0.9498692499999848
2020-05-04 13:00:00,-1.1325523333333365
2020-05-04 14:00:00,-1.1743491666666586
2020-05-04 15:00:00,-1.2570305833333393
2020-05-04 16:00:00,-1.2671887500000096
2020-05-04 17:00:00,-1.292186583333354
2020-05-04 18:00:00,-1.5114580833333378
2020-05-04 19:00:00,-1.59244841666667
2020-05-04 20:00:00,-1.6571617500000002
2020-05-04 21:00:00,-1.7760415833333525
2020-05-04 22:00:00,-1.923828416666673
2020-05-04 23:00:00,-2.050260833333347
2020-05-05 00:00:00,-2.177212500000003
2020-05-05 01:00:00,-2.2343745833333277
2020-05-05 02:00:00,-2.18268291666665
2020-05-05 03:00:00,-2.083593833333332
2020-05-05 04:00:00,-2.0328131666666707
2020-05-05 05:00:00,-1.8329424166666684
2020-05-05 06:00:00,-1.7010429166666512
2020-05-05 07:00:00,-1.6332033333333411
2020-05-05 08:00:00,-1.5411465833333295
2020-05-05 09:00:00,-1.483332833333321
2020-05-05 10:00:00,-1.4514335000000074
