Date,Ch_Water_Prs,Demand,OAT_Sensor,Sec_CWR_temp,Sec_CWS_temp
7/1/2020 0:00,14.9,30,75.8,56.6,46.3
7/1/2020 0:05,15.2,30,,56.4,46.5
7/1/2020 0:10,15.2,36,75.6,56.3,47.3
7/1/2020 0:15,15.1,60,,56.1,48
7/1/2020 0:20,15.1,72,75.4,55.9,48.8
7/1/2020 0:25,14.9,30,,55.8,49.3
7/1/2020 0:30,15,36,75.1,55.6,48.3
7/1/2020 0:35,14.9,36,,55.6,46.9
7/1/2020 0:40,14.9,30,74.9,55.6,46.6
7/1/2020 0:45,15,30,,55.6,46.6
7/1/2020 0:50,15.1,30,74.8,55.7,47.1
7/1/2020 0:55,14.9,30,,55.8,47.7
7/1/2020 1:00,15,30,74.5,55.8,48.4
7/1/2020 1:05,15,72,,55.8,49.2
7/1/2020 1:10,15.1,30,74.2,55.8,49.9
7/1/2020 1:15,15,30,,55.8,49.5
7/1/2020 1:20,14.9,30,74.1,55.8,48.2
7/1/2020 1:25,14.9,30,,55.8,47.3
7/1/2020 1:30,14.9,30,74.2,55.8,47.1
7/1/2020 1:35,15.2,30,,55.8,47.3
7/1/2020 1:40,14.9,36,73.9,55.8,47.9
7/1/2020 1:45,15,30,,55.8,48.6
7/1/2020 1:50,14.9,66,73.8,55.7,49.2
7/1/2020 1:55,15.1,30,,55.8,50
7/1/2020 2:00,15.1,30,73.6,55.7,50.2
7/1/2020 2:05,15.1,30,,55.8,49.2
7/1/2020 2:10,15,36,73.2,55.8,48.2
7/1/2020 2:15,15,30,,55.8,47.6
7/1/2020 2:20,15.1,30,72.9,55.8,47.5
7/1/2020 2:25,14.9,30,,55.8,47.8
7/1/2020 2:30,15,30,72.6,55.9,48.3
7/1/2020 2:35,15.1,30,,55.8,48.9
7/1/2020 2:40,15.2,54,72.4,55.9,49.6
7/1/2020 2:45,14.9,72,,55.8,50.3
7/1/2020 2:50,14.9,30,72.2,55.8,51
7/1/2020 2:55,15.1,36,,55.7,50.6
7/1/2020 3:00,15.1,30,71.9,55.7,49.4
7/1/2020 3:05,15,30,,55.6,48.6
7/1/2020 3:10,15.2,30,71.7,55.6,48.3
7/1/2020 3:15,15.1,30,,55.5,48.4
7/1/2020 3:20,15.1,30,71.7,55.5,48.8
7/1/2020 3:25,15.2,36,,55.6,49.4
7/1/2020 3:30,15.1,30,71.5,55.6,50
7/1/2020 3:35,15.1,66,,55.6,50.6
7/1/2020 3:40,15.1,30,71.2,55.7,51.3
7/1/2020 3:45,15,36,,55.7,51.6
7/1/2020 3:50,14.9,30,71.1,55.7,50.7
7/1/2020 3:55,15.1,36,,55.8,49.8
7/1/2020 4:00,15.1,30,70.8,55.7,49.2
7/1/2020 4:05,15,30,,55.8,49
7/1/2020 4:10,15.2,30,70.6,55.8,49.2
7/1/2020 4:15,15,30,,55.8,49.7
7/1/2020 4:20,15.2,30,70.7,55.8,50.2
7/1/2020 4:25,14.7,66,,55.8,50.8
7/1/2020 4:30,15.2,30,70.6,55.9,51.5
7/1/2020 4:35,15,30,,55.9,51.6
7/1/2020 4:40,15.1,30,70.3,55.9,50.5
7/1/2020 4:45,15,30,,55.9,49.3
7/1/2020 4:50,7.1,24,70.1,52.1,49
7/1/2020 4:55,2.3,24,,54.6,49.1
7/1/2020 5:00,1.6,24,69.8,54.6,49.2
7/1/2020 5:05,1.4,24,,54.5,49.4
7/1/2020 5:10,1.4,24,69.6,54.5,49.5
7/1/2020 5:15,1.6,24,,54.5,49.7
7/1/2020 5:20,1.6,24,69.6,54.5,49.8
7/1/2020 5:25,1.4,24,,54.5,50
7/1/2020 5:30,1.6,24,69.6,54.5,50
7/1/2020 5:35,1.6,24,,54.6,50.2
7/1/2020 5:40,1.4,24,69.6,54.6,50.3
7/1/2020 5:45,1.5,24,,54.7,50.5
7/1/2020 5:50,1.4,24,70.6,54.7,50.6
7/1/2020 5:55,1.4,24,,54.8,50.7
7/1/2020 6:00,1.4,24,72.3,54.8,50.9
7/1/2020 6:05,1.4,18,,54.9,51
7/1/2020 6:10,1.5,24,74.8,54.9,51.1
7/1/2020 6:15,1.4,24,,55,51.3
7/1/2020 6:20,1.3,24,76.4,55,51.4
7/1/2020 6:25,1.4,24,,55.1,51.5
7/1/2020 6:30,1.4,24,78,55.1,51.6
7/1/2020 6:35,12.4,66,,55.6,51.7
7/1/2020 6:40,12.3,30,79.8,56.8,50.3
7/1/2020 6:45,12.4,36,,56.8,45.5
7/1/2020 6:50,12.5,30,78.8,56.7,45.4
7/1/2020 6:55,12.5,36,,57.2,47.4
7/1/2020 7:00,12.9,72,77.5,58.7,48.5
7/1/2020 7:05,13.4,48,,60.3,43.8
7/1/2020 7:10,14.5,48,77.2,61.1,44.3
7/1/2020 7:15,14.3,60,,61.5,47.1
7/1/2020 7:20,14.8,90,77.7,60.8,48.5
7/1/2020 7:25,14.3,48,,59.3,44.1
7/1/2020 7:30,14.8,54,78.3,57.7,44.3
7/1/2020 7:35,14.9,54,,56.6,46.2
7/1/2020 7:40,14.9,84,79.4,55.6,47.9
7/1/2020 7:45,15,90,,54.3,48.2
7/1/2020 7:50,14.9,54,80,52.6,43.4
7/1/2020 7:55,14.8,54,,53.1,46.3
7/1/2020 8:00,14.7,108,81.2,54.1,48.9
7/1/2020 8:05,14.7,90,,52.1,44.4
7/1/2020 8:10,15.1,36,82.6,50.4,42.9
7/1/2020 8:15,14.9,42,,51.1,45.4
7/1/2020 8:20,14.9,42,82.5,49.7,47.5
7/1/2020 8:25,15,96,,48.4,49.1
7/1/2020 8:30,15,48,82.2,47.7,45.9
7/1/2020 8:35,14.9,48,,47.3,43.7
7/1/2020 8:40,15,54,83.7,46.9,44.8
7/1/2020 8:45,14.9,54,,45.7,46.4
7/1/2020 8:50,14.9,54,84.5,44.4,47.8
7/1/2020 8:55,14.9,60,,44.8,48.9
7/1/2020 9:00,15,78,85,45.5,47.7
7/1/2020 9:05,14.8,42,,47.9,42.9
7/1/2020 9:10,15,54,86.2,49.3,44.1
7/1/2020 9:15,15.2,48,,49.5,45.1
7/1/2020 9:20,15,48,86,48.9,46.4
7/1/2020 9:25,15.1,54,,48.2,47.7
7/1/2020 9:30,15,102,86.8,47.5,48.9
7/1/2020 9:35,15,54,,47.4,49.8
7/1/2020 9:40,15.1,54,86.2,47.2,49.6
7/1/2020 9:45,14.6,36,,47.2,48
7/1/2020 9:50,15.3,36,87.5,47.3,46.8
7/1/2020 9:55,15.1,36,,47.7,46
7/1/2020 10:00,14.9,48,87.2,49,45.9
7/1/2020 10:05,14.9,48,,51.2,47.7
7/1/2020 10:10,15,96,89,55.3,46.8
7/1/2020 10:15,14.6,90,,52.8,43.1
7/1/2020 10:20,15.6,96,89.5,50.9,42.6
7/1/2020 10:25,14.7,54,,50.5,42.3
7/1/2020 10:30,15.4,42,90.1,48.8,46.1
7/1/2020 10:35,15.4,84,,48.2,48.9
7/1/2020 10:40,15.3,78,89.8,47.5,43.9
7/1/2020 10:45,15.4,48,,46.1,42.1
7/1/2020 10:50,15.6,48,89.7,45.2,44.7
7/1/2020 10:55,14.9,48,,44.9,46.7
7/1/2020 11:00,15.6,60,89.5,45.1,48.2
7/1/2020 11:05,15.5,108,,46.1,47.1
7/1/2020 11:10,15.2,96,88.6,45.8,42.4
7/1/2020 11:15,15,60,,45.7,42.6
7/1/2020 11:20,14.5,42,89.9,47.3,46.3
7/1/2020 11:25,14.6,96,,47.6,48.9
7/1/2020 11:30,14.8,84,89.4,46.3,44.6
7/1/2020 11:35,14.9,48,,46.5,42.5
7/1/2020 11:40,14.9,60,89.5,46.5,43.8
7/1/2020 11:45,15,66,,46.1,45.6
7/1/2020 11:50,14.9,72,88.5,47.2,47.1
7/1/2020 11:55,14.9,108,,48.6,48.5
7/1/2020 12:00,14.9,114,90.2,48.6,45.7
7/1/2020 12:05,14.8,72,,46.9,42.1
7/1/2020 12:10,14.8,60,92.1,46.7,44.5
7/1/2020 12:15,15,54,,47.4,47.1
7/1/2020 12:20,14.7,132,89.3,48.1,48.7
7/1/2020 12:25,14.6,108,,46.9,43.2
7/1/2020 12:30,14.8,66,90,46.5,42.2
7/1/2020 12:35,15.5,78,,46.2,44.5
7/1/2020 12:40,15,78,90.2,46.2,46.5
7/1/2020 12:45,14.8,72,,46.5,48.1
7/1/2020 12:50,14.8,125.99999,89.4,47.3,48.2
7/1/2020 12:55,14.9,72,,47.5,43.4
7/1/2020 13:00,15,72,89.6,47.5,43.5
7/1/2020 13:05,14.9,54,,47.3,45.4
7/1/2020 13:10,15.1,48,90.1,47.1,47.1
7/1/2020 13:15,15.2,96,,47.4,48.6
7/1/2020 13:20,15,102,91.8,47.7,47.4
7/1/2020 13:25,15,60,,48.1,43
7/1/2020 13:30,15,60,90.5,49.8,44.3
7/1/2020 13:35,15.5,60,,50.1,46.4
7/1/2020 13:40,15.1,102,91.1,49,48.3
7/1/2020 13:45,15.4,102,,48.4,47.1
7/1/2020 13:50,15.5,60,89.4,48.3,42.7
7/1/2020 13:55,14.7,54,,48.2,44.1
7/1/2020 14:00,14.9,48,91.8,47.8,46.4
7/1/2020 14:05,14.7,60,,47.1,48.2
7/1/2020 14:10,15.3,96,92.6,48.2,45.7
7/1/2020 14:15,15.5,78,,49.5,42.3
7/1/2020 14:20,15.2,78,90.3,49.6,41.9
7/1/2020 14:25,14.5,84,,49.7,42.2
7/1/2020 14:30,14.7,84,92.6,51.1,42.8
7/1/2020 14:35,14.6,84,,50.7,43.2
7/1/2020 14:40,14.6,84,92.5,50.6,42.6
7/1/2020 14:45,14.7,84,,49.4,42.2
7/1/2020 14:50,14.7,84,92.9,48.1,41.8
7/1/2020 14:55,15.5,42,,47.4,42.5
7/1/2020 15:00,15.5,42,91.3,46.9,45.9
7/1/2020 15:05,14.7,60,,46.5,48.3
7/1/2020 15:10,15.4,96,90.3,46.7,45.4
7/1/2020 15:15,15.3,84,,47.5,42.4
7/1/2020 15:20,15,84,92.9,49.5,42.5
7/1/2020 15:25,15.1,84,,51.4,42.8
7/1/2020 15:30,15.2,78,92.3,50.1,43.4
7/1/2020 15:35,15.3,78,,49,43.6
7/1/2020 15:40,15.5,78,89.7,48,42.6
7/1/2020 15:45,14.9,30,,47.5,42.4
7/1/2020 15:50,15,36,89.7,46.6,44.6
7/1/2020 15:55,14.9,36,,46.8,46.6
7/1/2020 16:00,15,36,90.7,47.5,48.2
7/1/2020 16:05,14.9,90,,48.3,48.1
7/1/2020 16:10,15.1,36,90,49,42.7
7/1/2020 16:15,15.1,36,,49.8,43.2
7/1/2020 16:20,15,36,90.4,50.5,45.7
7/1/2020 16:25,15.1,66,,51.2,48
7/1/2020 16:30,14.8,96,90.6,52.2,46.9
7/1/2020 16:35,14.9,72,,53.3,42.7
7/1/2020 16:40,14.9,36,89.7,54.1,43.1
7/1/2020 16:45,14.9,36,,54.6,46.4
7/1/2020 16:50,15,96,90.5,54.4,48.7
7/1/2020 16:55,14.9,78,,54.4,43.5
7/1/2020 17:00,15.1,36,89.9,54.8,42.3
7/1/2020 17:05,15,36,,55.4,44
7/1/2020 17:10,14.9,36,88.7,56.7,47
7/1/2020 17:15,14.9,96,,57.5,48.4
7/1/2020 17:20,15,78,88,57.9,43.7
7/1/2020 17:25,14.8,36,,57.9,42.2
7/1/2020 17:30,15,36,87.3,57.9,45
7/1/2020 17:35,15.1,96,,58.2,47.9
7/1/2020 17:40,15.1,84,88,58.5,46.4
7/1/2020 17:45,15.1,36,,58.8,42.7
7/1/2020 17:50,14.9,36,87.5,58.9,43.3
7/1/2020 17:55,14.9,54,,59.1,47
7/1/2020 18:00,14.9,90,86.2,59.3,47.5
7/1/2020 18:05,15.1,78,,59.7,43.2
7/1/2020 18:10,14.9,78,85.7,59.8,42.2
7/1/2020 18:15,14.9,36,,59.8,43.1
7/1/2020 18:20,15.5,60,86,59.8,47.1
7/1/2020 18:25,15.4,84,,59.8,47
7/1/2020 18:30,15.5,78,85.5,59.9,43
7/1/2020 18:35,14.8,48,,60,42.1
7/1/2020 18:40,14.7,36,85.3,60.3,43.6
7/1/2020 18:45,14.9,72,,60.2,47.2
7/1/2020 18:50,14.9,96,84.3,60,47.1
7/1/2020 18:55,15.6,84,,59.6,43.2
7/1/2020 19:00,14.9,48,83.9,59.4,42.8
7/1/2020 19:05,15.5,48,,59.2,46.1
7/1/2020 19:10,14.8,102,83.8,59,48.7
7/1/2020 19:15,14.9,90,,58.8,44.2
7/1/2020 19:20,15,48,83.5,58.8,42.2
7/1/2020 19:25,15,48,,59,44.8
7/1/2020 19:30,15,96,83.2,59.1,47.8
7/1/2020 19:35,14.9,90,,59.2,46.8
7/1/2020 19:40,14.9,48,82.7,59.4,43.1
7/1/2020 19:45,15,48,,59.6,43.8
7/1/2020 19:50,15.1,48,82.2,59.7,46.1
7/1/2020 19:55,15.1,108,,59.8,48.4
7/1/2020 20:00,14.9,72,81.7,59.8,46.5
7/1/2020 20:05,15.1,54,,59.7,43.4
7/1/2020 20:10,15.1,54,81.1,59.6,44.7
7/1/2020 20:15,15.1,36,,59.6,46.7
7/1/2020 20:20,15.1,84,80.6,59.6,48.5
7/1/2020 20:25,15,36,,59.5,47.4
7/1/2020 20:30,14.9,36,80,59.3,44.5
7/1/2020 20:35,14.9,36,,59.2,44.9
7/1/2020 20:40,15.1,36,79.3,59.2,46.5
7/1/2020 20:45,15,84,,59.2,48.1
7/1/2020 20:50,14.9,36,78.7,59.3,48.5
7/1/2020 20:55,15.2,30,,59.4,45.3
