Date,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyWetBulbTemperature,HourlyWindSpeed,HourlyStationPressure,HourlyRelativeHumidity
1/1/2020 0:00,13,18,17,0,28.84,81
1/1/2020 1:00,13,18,17,3,28.83,81
1/1/2020 2:00,13,18,17,0,28.83,81
1/1/2020 3:00,14,18,17,5,28.83,84
1/1/2020 4:00,14,18,17,3,28.82,84
1/1/2020 5:00,12,17,16,9,28.79,80
1/1/2020 6:00,13,17,16,7,28.78,84
1/1/2020 7:00,14,18,17,8,28.77,84
1/1/2020 8:00,16,20,19,11,28.76,85
1/1/2020 9:00,19,25,23,11,28.75,78
1/1/2020 10:00,21,28,26,13,28.73,75
1/1/2020 11:00,23,32,29,14,28.68,69
1/1/2020 12:00,24,36,32,14,28.65,62
1/1/2020 13:00,25,36,32,15,28.61,64
1/1/2020 14:00,26,37,33,13,28.58,65
1/1/2020 15:00,27,37,33,15,28.56,67
1/1/2020 16:00,28,38,34,10,28.56,68
1/1/2020 17:00,29,38,34,14,28.56,70
1/1/2020 18:00,29,39,35,16,28.56,67
1/1/2020 19:00,29,38,34,11,28.55,70
1/1/2020 20:00,29,39,35,9,28.55,67
1/1/2020 21:00,30,39,35,10,28.53,70
1/1/2020 22:00,30,40,36,13,28.51,68
1/1/2020 23:00,29,40,36,NA,28.5,65
1/2/2020 0:00,29,39,35,13,28.49,67
1/2/2020 1:00,29,38,34,NA,28.5,70
1/2/2020 2:00,29,38,34,NA,28.51,70
1/2/2020 3:00,30,38,35,6,28.5,73
1/2/2020 4:00,30,37,34,10,28.5,76
1/2/2020 5:00,30,37,34,8,28.5,76
1/2/2020 6:00,30,38,35,9,28.52,73
1/2/2020 7:00,31,37,35,9,28.54,79
1/2/2020 8:00,31,38,35,8,28.56,76
1/2/2020 9:00,32,39,36,8,28.58,76
1/2/2020 10:00,32,41,37,9,28.58,70
1/2/2020 11:00,33,42,38,8,28.58,71
1/2/2020 12:00,34,44,40,10,28.58,68
1/2/2020 13:00,34,44,40,7,28.59,68
1/2/2020 14:00,35,44,40,7,28.61,71
1/2/2020 15:00,35,44,40,6,28.64,71
1/2/2020 16:00,34,40,37,3,28.64,79
1/2/2020 17:00,34,39,37,3,28.66,82
1/2/2020 18:00,33,38,36,5,28.66,83
1/2/2020 19:00,32,38,36,5,28.71,79
1/2/2020 20:00,32,38,36,6,28.73,79
1/2/2020 21:00,32,37,35,3,28.74,82
1/2/2020 22:00,31,37,35,7,28.76,79
1/2/2020 23:00,30,37,34,5,28.77,76
1/3/2020 0:00,29,35,33,6,28.77,78
1/3/2020 1:00,28,35,32,NA,28.8,76
1/3/2020 2:00,28,34,32,8,28.82,79
1/3/2020 3:00,27,34,31,10,28.82,75
1/3/2020 4:00,26,32,30,9,28.86,79
1/3/2020 5:00,23,31,28,7,28.88,72
1/3/2020 6:00,23,31,28,3,28.9,72
1/3/2020 7:00,23,32,29,6,28.9,69
1/3/2020 8:00,24,32,29,6,28.9,73
1/3/2020 9:00,24,33,30,7,28.91,70
1/3/2020 10:00,24,33,30,3,28.9,70
1/3/2020 11:00,25,34,31,5,28.9,70
1/3/2020 12:00,24,33,30,5,28.89,70
