Date,kW
1/1/2020 0:00,16.4
1/1/2020 0:15,16.8
1/1/2020 0:30,16.8
1/1/2020 0:45,16.8
1/1/2020 1:00,16.8
1/1/2020 1:15,16.4
1/1/2020 1:30,17.6
1/1/2020 1:45,16.4
1/1/2020 2:00,16.8
1/1/2020 2:15,16.8
1/1/2020 2:30,17.2
1/1/2020 2:45,18.8
1/1/2020 3:00,29.6
1/1/2020 3:15,40
1/1/2020 3:30,40
1/1/2020 3:45,40.8
1/1/2020 4:00,28.8
1/1/2020 4:15,18.4
1/1/2020 4:30,18
1/1/2020 4:45,17.6
1/1/2020 5:00,17.6
1/1/2020 5:15,18
1/1/2020 5:30,18
1/1/2020 5:45,18
1/1/2020 6:00,18
1/1/2020 6:15,17.6
1/1/2020 6:30,18
1/1/2020 6:45,17.6
1/1/2020 7:00,18.4
1/1/2020 7:15,18
1/1/2020 7:30,15.6
1/1/2020 7:45,13.6
1/1/2020 8:00,11.6
1/1/2020 8:15,10.8
1/1/2020 8:30,9.2
1/1/2020 8:45,7.6
1/1/2020 9:00,8
1/1/2020 9:15,4.4
1/1/2020 9:30,4
1/1/2020 9:45,2.8
1/1/2020 10:00,1.2
1/1/2020 10:15,1.2
1/1/2020 10:30,1.6
1/1/2020 10:45,1.6
1/1/2020 11:00,0.8
1/1/2020 11:15,3.6
1/1/2020 11:30,3.2
1/1/2020 11:45,0
1/1/2020 12:00,0.4
1/1/2020 12:15,0
1/1/2020 12:30,2.4
1/1/2020 12:45,6
1/1/2020 13:00,10.8
1/1/2020 13:15,6.4
1/1/2020 13:30,6
1/1/2020 13:45,4.8
1/1/2020 14:00,4.4
1/1/2020 14:15,9.6
1/1/2020 14:30,12.8
1/1/2020 14:45,12.8
1/1/2020 15:00,12.4
1/1/2020 15:15,14.4
1/1/2020 15:30,15.6
1/1/2020 15:45,16
1/1/2020 16:00,15.6
1/1/2020 16:15,15.6
1/1/2020 16:30,17.6
1/1/2020 16:45,18
1/1/2020 17:00,20
1/1/2020 17:15,19.2
1/1/2020 17:30,19.2
1/1/2020 17:45,19.2
1/1/2020 18:00,18
1/1/2020 18:15,18.4
1/1/2020 18:30,17.6
1/1/2020 18:45,17.6
1/1/2020 19:00,18
1/1/2020 19:15,17.6
1/1/2020 19:30,17.6
1/1/2020 19:45,17.6
1/1/2020 20:00,17.6
1/1/2020 20:15,17.6
1/1/2020 20:30,18
1/1/2020 20:45,17.6
1/1/2020 21:00,17.6
1/1/2020 21:15,17.6
1/1/2020 21:30,17.6
1/1/2020 21:45,17.6
1/1/2020 22:00,17.6
1/1/2020 22:15,18
1/1/2020 22:30,17.6
1/1/2020 22:45,17.6
1/1/2020 23:00,17.6
1/1/2020 23:15,17.6
1/1/2020 23:30,17.6
1/1/2020 23:45,17.6
1/2/2020 0:00,17.6
1/2/2020 0:15,18
1/2/2020 0:30,18
1/2/2020 0:45,17.6
1/2/2020 1:00,17.6
1/2/2020 1:15,18
1/2/2020 1:30,17.6
1/2/2020 1:45,17.6
1/2/2020 2:00,17.6
1/2/2020 2:15,17.6
1/2/2020 2:30,17.6
1/2/2020 2:45,20
1/2/2020 3:00,18
1/2/2020 3:15,17.2
1/2/2020 3:30,18
1/2/2020 3:45,17.6
1/2/2020 4:00,18
1/2/2020 4:15,18
1/2/2020 4:30,17.6
1/2/2020 4:45,24.8
1/2/2020 5:00,35.6
1/2/2020 5:15,33.6
1/2/2020 5:30,33.6
1/2/2020 5:45,33.6
1/2/2020 6:00,33.6
1/2/2020 6:15,34
1/2/2020 6:30,36.8
1/2/2020 6:45,38.4
1/2/2020 7:00,41.6
1/2/2020 7:15,44
1/2/2020 7:30,46
1/2/2020 7:45,44.8
1/2/2020 8:00,47.2
1/2/2020 8:15,48.4
1/2/2020 8:30,52.8
1/2/2020 8:45,50.4
1/2/2020 9:00,47.2
1/2/2020 9:15,50
1/2/2020 9:30,47.2
1/2/2020 9:45,46.8
1/2/2020 10:00,41.6
1/2/2020 10:15,49.6
1/2/2020 10:30,48
1/2/2020 10:45,46.8
1/2/2020 11:00,47.6
1/2/2020 11:15,49.6
1/2/2020 11:30,46.4
1/2/2020 11:45,46.4
1/2/2020 12:00,42.8
1/2/2020 12:15,38.8
1/2/2020 12:30,38.8
1/2/2020 12:45,37.6
1/2/2020 13:00,45.2
1/2/2020 13:15,41.2
1/2/2020 13:30,47.2
1/2/2020 13:45,46.4
1/2/2020 14:00,38.4
1/2/2020 14:15,46
1/2/2020 14:30,44
1/2/2020 14:45,43.2
1/2/2020 15:00,47.6
1/2/2020 15:15,50
1/2/2020 15:30,49.6
1/2/2020 15:45,51.6
1/2/2020 16:00,52.8
1/2/2020 16:15,52
1/2/2020 16:30,52
1/2/2020 16:45,54
1/2/2020 17:00,52
1/2/2020 17:15,52.8
1/2/2020 17:30,52.4
1/2/2020 17:45,51.6
1/2/2020 18:00,43.6
1/2/2020 18:15,32.8
1/2/2020 18:30,28.4
1/2/2020 18:45,24.8
1/2/2020 19:00,22.4
