Date,OAT,kWH
4/25/2019,49.9,169.2
4/26/2019,52.48263889,6149.000003
4/27/2019,37.94097222,3700.5
4/28/2019,43.37986111,4313.5
4/29/2019,45.14027778,7393.500018
4/30/2019,42.51041667,7456.000015
5/1/2019,46.17708333,6936.50001
5/2/2019,47.18402778,6788.500013
5/3/2019,53.17222222,6361.500003
5/4/2019,55.96875,4642
5/5/2019,59.92847222,4659.5
5/6/2019,55.27083333,6259.500003
5/7/2019,51.35,5931.5
5/8/2019,45.01527778,6552.500005
5/9/2019,51.55208333,6795.500003
5/10/2019,50.36597222,6641
5/11/2019,52.75208333,4080.500003
5/12/2019,49.01527778,3688
5/13/2019,53.86666667,6004.5
5/14/2019,60.81597222,6104.500008
5/15/2019,65.69375,6241.00001
5/16/2019,66.83333333,6440.000005
5/17/2019,54.96111111,5659.500003
5/18/2019,54.09375,4700.5
5/19/2019,56.11319444,3665.5
5/20/2019,50.79236111,6619.500003
5/21/2019,51.57708333,5851.5
5/22/2019,64.17222222,6132.500003
5/23/2019,64.58472222,6021.000003
5/24/2019,62.74236111,4680.5
5/25/2019,73.35902778,4327.5
5/26/2019,69.85625,3923.5
5/27/2019,61.30763889,3127
5/28/2019,56.90069444,6383.00001
5/29/2019,65.44166667,5896.000003
5/30/2019,70.71527778,6158.500023
5/31/2019,74.57291667,6224.500022
6/1/2019,68.06597222,4394
6/2/2019,63.27847222,3151.5
6/3/2019,59.9125,5933.500003
6/4/2019,66.97847222,6062.50001
6/5/2019,74.69236111,6398.000018
6/6/2019,75.03333333,6482.000018
6/7/2019,75.65902778,6574.500015
6/8/2019,73.61041667,4599.5
6/9/2019,71.22430556,3051
6/10/2019,65.49513889,5792.500003
6/11/2019,66.59513889,5921.50001
6/12/2019,57.52916667,5149.500003
6/13/2019,60.09722222,4931.5
6/14/2019,65.92083333,4591
6/15/2019,66.75069444,3567
6/16/2019,57.98611111,3269.5
6/17/2019,67.89722222,5047.5
6/18/2019,70.98888889,5067.454545
6/19/2019,65.325,5115
6/20/2019,68.02708333,4825
6/21/2019,68.06944444,3641.5
6/22/2019,69.88402778,3445.5
6/23/2019,73.57430556,3114.5
6/24/2019,68.19236111,4740.5
6/25/2019,72.10555556,4846.5
6/26/2019,78.33541667,5523
6/27/2019,75.15208333,5600.000005
6/28/2019,75.55555556,3493
6/29/2019,84.62569444,4910
6/30/2019,74.53819444,2953.5
7/1/2019,79.17916667,5438.500003
7/2/2019,80.78402778,5978.000008
7/3/2019,79.79027778,5394.500008
7/4/2019,81.95694444,3476
7/5/2019,83.62708333,3737
7/6/2019,73.69513889,3224.5
7/7/2019,73.48055556,3272
7/8/2019,75.12222222,5472.500003
7/9/2019,77.64236111,5595
7/10/2019,80.08611111,5864.000005
