Date,Dew_Point_C,Surface_Albedo,Wind_Speed_m_s,Relative_Humidity,Temperature_C,Pressure_mbar,kW,DHI_DNI
2019-01-01 00:00:00+00:00,-7.8,0.87,5.2,83.61,-5.5,987.0,16.64,0.0
2019-01-01 00:30:00+00:00,-7.8,0.87,5.0,84.98,-5.7,988.0,16.64,0.0
2019-01-01 01:00:00+00:00,-8.4,0.87,4.9,83.41,-6.0,989.0,16.0,0.0
2019-01-01 01:30:00+00:00,-8.3,0.87,4.5,85.43,-6.3,990.0,16.64,0.0
2019-01-01 02:00:00+00:00,-8.9,0.87,4.2,83.73,-6.6,991.0,16.32,0.0
2019-01-01 02:30:00+00:00,-8.9,0.87,4.1,85.68,-6.9,991.0,16.32,0.0
2019-01-01 03:00:00+00:00,-9.6,0.87,4.0,83.86,-7.3,992.0,16.0,0.0
2019-01-01 03:30:00+00:00,-9.6,0.87,4.0,85.82,-7.6,992.0,16.32,0.0
2019-01-01 04:00:00+00:00,-10.2,0.87,4.0,83.53,-7.9,992.0,16.0,0.0
2019-01-01 04:30:00+00:00,-10.2,0.87,3.9,86.26,-8.3,993.0,18.24,0.0
2019-01-01 05:00:00+00:00,-11.0,0.87,3.8,83.75,-8.7,993.0,38.72,0.0
2019-01-01 05:30:00+00:00,-11.0,0.87,3.4,89.17,-9.5,993.0,39.04,0.0
2019-01-01 06:00:00+00:00,-12.3,0.87,3.0,84.48,-10.2,994.0,39.04,0.0
2019-01-01 06:30:00+00:00,-12.3,0.87,2.8,85.83,-10.4,994.0,18.24,0.0
2019-01-01 07:00:00+00:00,-12.9,0.87,2.6,83.3,-10.6,995.0,16.96,0.0
2019-01-01 07:30:00+00:00,-12.9,0.87,2.6,79.52,-10.0,996.0,16.0,27.0
2019-01-01 08:00:00+00:00,-12.0,0.87,2.6,81.04,-9.4,996.0,13.76,19.0
2019-01-01 08:30:00+00:00,-12.0,0.87,3.1,76.12,-8.6,996.0,13.44,75.0
2019-01-01 09:00:00+00:00,-11.1,0.87,3.6,77.39,-7.8,996.0,13.12,224.0
2019-01-01 09:30:00+00:00,-11.1,0.87,3.5,76.2,-7.6,996.0,13.12,353.0
2019-01-01 10:00:00+00:00,-10.7,0.87,3.5,76.95,-7.3,996.0,13.12,432.0
2019-01-01 10:30:00+00:00,-10.7,0.87,3.3,75.19,-7.0,996.0,13.76,539.0
2019-01-01 11:00:00+00:00,-10.3,0.87,3.1,75.84,-6.7,996.0,13.12,391.0
2019-01-01 11:30:00+00:00,-10.3,0.87,2.9,74.69,-6.5,996.0,13.12,319.0
2019-01-01 12:00:00+00:00,-9.8,0.87,2.7,76.0,-6.3,996.0,13.12,312.0
2019-01-01 12:30:00+00:00,-9.8,0.87,2.5,75.42,-6.2,996.0,13.44,475.0
2019-01-01 13:00:00+00:00,-9.8,0.87,2.3,75.17,-6.1,996.0,13.12,601.0
2019-01-01 13:30:00+00:00,-9.8,0.87,2.1,75.17,-6.1,996.0,13.44,641.0
2019-01-01 14:00:00+00:00,-9.9,0.87,1.9,74.34,-6.1,996.0,13.44,531.0
2019-01-01 14:30:00+00:00,-9.9,0.87,1.6,76.65,-6.5,996.0,13.12,281.0
2019-01-01 15:00:00+00:00,-10.1,0.87,1.3,78.33,-7.0,996.0,13.12,290.0
2019-01-01 15:30:00+00:00,-10.1,0.87,1.3,82.68,-7.7,996.0,13.12,282.0
2019-01-01 16:00:00+00:00,-11.8,0.87,1.4,77.2,-8.5,996.0,12.8,232.0
2019-01-01 16:30:00+00:00,-11.8,0.87,1.5,79.65,-8.9,996.0,14.4,28.0
2019-01-01 17:00:00+00:00,-12.4,0.87,1.5,78.9,-9.4,997.0,16.32,0.0
2019-01-01 17:30:00+00:00,-12.4,0.87,1.5,78.9,-9.4,997.0,16.32,0.0
2019-01-01 18:00:00+00:00,-12.5,0.87,1.4,81.6,-10.0,996.0,16.32,0.0
2019-01-01 18:30:00+00:00,-12.5,0.87,1.3,82.9,-10.2,996.0,16.64,0.0
2019-01-01 19:00:00+00:00,-12.5,0.87,1.1,84.27,-10.4,996.0,16.96,0.0
