Date,kW,OaT
1/1/2019 0:00,50,6.3
1/2/2019 0:00,135,15.3
1/3/2019 0:00,132,33.5
1/4/2019 0:00,131,37.5
1/5/2019 0:00,48,35.6
1/6/2019 0:00,48,30.6
1/7/2019 0:00,140,38.5
1/8/2019 0:00,135,25.5
1/9/2019 0:00,134,15.3
1/10/2019 0:00,133,20.2
1/11/2019 0:00,132,30.8
1/12/2019 0:00,50,33.2
1/13/2019 0:00,49,35.4
1/14/2019 0:00,139,34
1/15/2019 0:00,133,26.7
1/16/2019 0:00,131,12.7
1/17/2019 0:00,134,17.1
1/18/2019 0:00,133,4.4
1/19/2019 0:00,77,2.2
1/20/2019 0:00,51,2.1
1/21/2019 0:00,100,14.9
1/22/2019 0:00,145,23.6
1/23/2019 0:00,137,22.2
1/24/2019 0:00,135,10.4
1/25/2019 0:00,132,-4.3
1/26/2019 0:00,58,2.5
1/27/2019 0:00,75,0.5
1/28/2019 0:00,148,13.8
1/29/2019 0:00,153,-8
1/30/2019 0:00,163,-13
1/31/2019 0:00,165,-6.7
2/1/2019 0:00,151,11.6
2/2/2019 0:00,75,24.3
2/3/2019 0:00,49,30.2
2/4/2019 0:00,148,18.3
2/5/2019 0:00,154,12.8
2/6/2019 0:00,140,23.5
2/7/2019 0:00,136,17
2/8/2019 0:00,138,4.4
2/9/2019 0:00,50,5.6
2/10/2019 0:00,50,17.5
2/11/2019 0:00,148,25.8
2/12/2019 0:00,140,26.6
2/13/2019 0:00,137,26.9
2/14/2019 0:00,140,22.5
2/15/2019 0:00,136,15.4
2/16/2019 0:00,50,20.1
2/17/2019 0:00,49,21.3
2/18/2019 0:00,52,23.2
2/19/2019 0:00,137,22.5
2/20/2019 0:00,136,24.7
2/21/2019 0:00,136,30.6
2/22/2019 0:00,135,29
2/23/2019 0:00,48,32.4
2/24/2019 0:00,48,20.8
2/25/2019 0:00,143,3.6
2/26/2019 0:00,136,11.8
2/27/2019 0:00,135,17.1
2/28/2019 0:00,151,18.8
3/1/2019 0:00,136,22.2
3/2/2019 0:00,51,14.3
3/3/2019 0:00,52,2.5
3/4/2019 0:00,147,6.4
3/5/2019 0:00,138,11.9
3/6/2019 0:00,138,17.3
3/7/2019 0:00,137,20.3
3/8/2019 0:00,133,30.8
3/9/2019 0:00,46,33.5
3/10/2019 0:00,46,33.4
3/11/2019 0:00,138,29
3/12/2019 0:00,133,38.4
3/13/2019 0:00,133,42.3
3/14/2019 0:00,130,42.3
3/15/2019 0:00,128,34.4
3/16/2019 0:00,47,33.4
3/17/2019 0:00,47,35.1
3/18/2019 0:00,143,40.9
3/19/2019 0:00,132,44.4
3/20/2019 0:00,133,43.6
3/21/2019 0:00,134,48.8
3/22/2019 0:00,129,42.5
3/23/2019 0:00,46,44.8
3/24/2019 0:00,46,36.6
3/25/2019 0:00,138,38.6
3/26/2019 0:00,131,45.4
3/27/2019 0:00,131,54.3
3/28/2019 0:00,130,45.5
3/29/2019 0:00,127,40.2
3/30/2019 0:00,47,31.1
3/31/2019 0:00,48,34.5
4/1/2019 0:00,137,41.8
4/2/2019 0:00,131,40.7
4/3/2019 0:00,129,38.8
4/4/2019 0:00,130,38.6
4/5/2019 0:00,128,48.4
4/6/2019 0:00,48,44
4/7/2019 0:00,49,40.9
4/8/2019 0:00,136,50.2
4/9/2019 0:00,127,41
4/10/2019 0:00,128,37.1
4/11/2019 0:00,130,34.3
4/12/2019 0:00,125,37.4
4/13/2019 0:00,47,37.4
4/14/2019 0:00,46,42.1
4/15/2019 0:00,138,42.2
4/16/2019 0:00,131,48.4
4/17/2019 0:00,134,46.5
4/18/2019 0:00,134,47.9
4/19/2019 0:00,135,58.8
4/20/2019 0:00,47,55.4
4/21/2019 0:00,47,47.2
4/22/2019 0:00,141,46.2
4/23/2019 0:00,133,53.3
4/24/2019 0:00,133,55.2
4/25/2019 0:00,133,65.1
4/26/2019 0:00,132,52.3
