Date,WeatherStation_Min,WeatherStation_Max
2/19/2018,39,33
2/20/2018,38,24
2/21/2018,27,18
2/22/2018,34,21
2/23/2018,38,27
2/24/2018,38,24
2/25/2018,38,26
2/26/2018,48,22
2/27/2018,57,33
2/28/2018,47,30
3/1/2018,45,29
3/2/2018,45,20
3/3/2018,45,28
3/4/2018,46,28
3/5/2018,35,29
3/6/2018,34,25
3/7/2018,27,17
3/8/2018,31,14
3/9/2018,35,15
3/10/2018,42,14
3/11/2018,43,19
3/12/2018,42,27
3/13/2018,34,21
3/14/2018,47,19
3/15/2018,46,23
3/16/2018,38,18
3/17/2018,50,22
3/18/2018,56,22
3/19/2018,48,25
3/20/2018,37,23
3/21/2018,41,22
3/22/2018,48,18
3/23/2018,45,18
3/24/2018,38,22
3/25/2018,44,21
3/26/2018,49,21
3/27/2018,47,29
3/28/2018,53,24
3/29/2018,51,33
3/30/2018,46,27
3/31/2018,46,23
4/1/2018,35,17
4/2/2018,39,16
4/3/2018,33,25
4/4/2018,32,21
4/5/2018,42,14
4/6/2018,33,19
4/7/2018,35,14
4/8/2018,38,14
4/9/2018,38,26
4/10/2018,40,25
4/11/2018,59,37
4/12/2018,57,35
4/13/2018,40,34
4/14/2018,35,27
4/15/2018,29,24
4/16/2018,33,24
4/17/2018,40,26
4/18/2018,33,27
4/19/2018,49,24
4/20/2018,58,22
4/21/2018,56,30
4/22/2018,63,32
4/23/2018,68,32
4/24/2018,73,36
4/25/2018,60,37
4/26/2018,67,35
4/27/2018,60,36
4/28/2018,55,33
4/29/2018,63,26
4/30/2018,81,43
5/1/2018,79,60
5/2/2018,77,59
5/3/2018,66,56
5/4/2018,75,52
5/5/2018,79,48
5/6/2018,72,51
5/7/2018,78,44
5/8/2018,81,51
5/9/2018,71,55
5/10/2018,69,44
5/11/2018,44,35
5/12/2018,57,41
5/13/2018,60,45
5/14/2018,72,55
5/15/2018,77,53
5/16/2018,82,47
5/17/2018,76,52
5/18/2018,76,49
5/19/2018,75,55
5/20/2018,60,47
5/21/2018,59,50
5/22/2018,69,52
5/23/2018,79,49
5/24/2018,85,58
5/25/2018,85,66
5/26/2018,90,63
5/27/2018,95,64
5/28/2018,93,65
5/29/2018,91,65
5/30/2018,79,68
5/31/2018,85,67
6/1/2018,78,52
6/2/2018,69,50
6/3/2018,67,55
6/4/2018,80,50
6/5/2018,72,52
6/6/2018,76,49
6/7/2018,84,57
6/8/2018,74,58
6/9/2018,80,60
6/10/2018,67,60
6/11/2018,75,60
6/12/2018,79,65
6/13/2018,80,59
6/14/2018,76,56
6/15/2018,84,62
6/16/2018,89,68
6/17/2018,91,75
6/18/2018,88,64
6/19/2018,68,62
6/20/2018,73,62
6/21/2018,67,61
6/22/2018,72,58
6/23/2018,80,56
6/24/2018,83,61
6/25/2018,78,58
6/26/2018,70,64
6/27/2018,80,65
6/28/2018,86,60
6/29/2018,93,71
6/30/2018,92,70
7/1/2018,88,66
7/2/2018,84,59
7/3/2018,87,61
7/4/2018,92,70
7/5/2018,88,66
7/6/2018,78,59
7/7/2018,79,50
7/8/2018,84,59
7/9/2018,88,68
7/10/2018,87,63
7/11/2018,85,59
7/12/2018,87,67
7/13/2018,92,70
7/14/2018,84,70
7/15/2018,86,68
7/16/2018,83,68
7/17/2018,81,62
7/18/2018,82,58
7/19/2018,78,57
7/20/2018,76,67
7/21/2018,80,67
7/22/2018,79,62
7/23/2018,83,58
7/24/2018,84,63
7/25/2018,84,59
7/26/2018,75,62
7/27/2018,77,57
7/28/2018,79,53
7/29/2018,81,55
7/30/2018,82,55
7/31/2018,81,52
8/1/2018,82,59
8/2/2018,75,60
8/3/2018,81,59
8/4/2018,87,70
8/5/2018,84,69
8/6/2018,78,66
8/7/2018,74,60
8/8/2018,82,60
8/9/2018,87,63
8/10/2018,84,58
8/11/2018,86,62
8/12/2018,88,65
8/13/2018,87,63
8/14/2018,86,61
8/15/2018,84,67
8/16/2018,83,67
8/17/2018,82,66
8/18/2018,80,62
8/19/2018,83,58
8/20/2018,75,64
8/21/2018,74,58
8/22/2018,76,54
8/23/2018,77,54
8/24/2018,67,63
8/25/2018,84,65
8/26/2018,87,61
8/27/2018,85,74
8/28/2018,83,68
8/29/2018,70,57
8/30/2018,74,53
8/31/2018,82,58
9/1/2018,79,68
9/2/2018,82,68
9/3/2018,73,69
9/4/2018,87,70
9/5/2018,78,66
9/6/2018,73,54
9/7/2018,67,50
9/8/2018,71,53
9/9/2018,69,49
9/10/2018,73,46
9/11/2018,78,51
9/12/2018,81,55
9/13/2018,79,53
9/14/2018,85,55
9/15/2018,87,60
9/16/2018,86,57
9/17/2018,89,62
9/18/2018,70,61
9/19/2018,68,56
9/20/2018,85,60
9/21/2018,80,45
9/22/2018,65,39
9/23/2018,71,45
9/24/2018,76,51
9/25/2018,76,49
9/26/2018,63,46
9/27/2018,66,47
9/28/2018,55,43
9/29/2018,51,33
9/30/2018,52,44
10/1/2018,55,49
10/2/2018,56,51
10/3/2018,84,55
10/4/2018,65,41
10/5/2018,58,45
10/6/2018,56,50
10/7/2018,52,49
10/8/2018,79,52
10/9/2018,81,63
10/10/2018,72,47
10/11/2018,47,38
10/12/2018,42,31
10/13/2018,49,27
10/14/2018,51,34
10/15/2018,43,32
10/16/2018,57,36
10/17/2018,50,31
10/18/2018,58,27
10/19/2018,55,48
10/20/2018,48,27
10/21/2018,49,22
10/22/2018,63,30
10/23/2018,53,31
10/24/2018,53,27
10/25/2018,50,36
10/26/2018,52,40
10/27/2018,49,39
10/28/2018,49,43
10/29/2018,52,40
10/30/2018,57,41
10/31/2018,58,37
11/1/2018,49,34
11/2/2018,47,28
11/3/2018,46,32
11/4/2018,51,37
11/5/2018,50,40
11/6/2018,47,34
11/7/2018,36,32
11/8/2018,33,31
11/9/2018,31,19
11/10/2018,29,17
11/11/2018,39,28
11/12/2018,30,19
11/13/2018,26,16
11/14/2018,34,13
11/15/2018,41,16
11/16/2018,38,30
11/17/2018,31,23
11/18/2018,32,14
11/19/2018,31,23
11/20/2018,31,23
11/21/2018,30,24
11/22/2018,35,25
11/23/2018,49,31
11/24/2018,44,38
11/25/2018,38,28
11/26/2018,28,20
11/27/2018,24,14
11/28/2018,28,19
11/29/2018,32,23
11/30/2018,32,29
12/1/2018,37,31
12/2/2018,35,31
12/3/2018,31,27
12/4/2018,28,23
12/5/2018,32,22
12/6/2018,30,14
12/7/2018,23,14
12/8/2018,29,14
12/9/2018,27,13
12/10/2018,36,13
12/11/2018,33,17
12/12/2018,35,27
12/13/2018,39,19
12/14/2018,43,21
12/15/2018,48,18
12/16/2018,47,19
12/17/2018,40,21
12/18/2018,44,19
12/19/2018,46,30
12/20/2018,42,35
12/21/2018,35,26
12/22/2018,30,26
12/23/2018,34,25
12/24/2018,31,18
12/25/2018,34,23
12/26/2018,39,25
12/27/2018,50,37
12/28/2018,49,24
12/29/2018,25,20
12/30/2018,32,19
12/31/2018,34,27
1/1/2019,30,19
1/2/2019,27,19
1/3/2019,37,21
1/4/2019,46,25
1/5/2019,50,23
1/6/2019,37,23
1/7/2019,48,36
1/8/2019,41,19
1/9/2019,20,13
1/10/2019,26,12
1/11/2019,28,17
1/12/2019,32,27
1/13/2019,29,26
1/14/2019,30,23
1/15/2019,33,26
1/16/2019,33,19
1/17/2019,31,22
1/18/2019,26,14
1/19/2019,17,0
1/20/2019,8,-12
1/21/2019,16,-14
1/22/2019,23,14
1/23/2019,22,4
1/24/2019,22,-1
1/25/2019,1,-18
1/26/2019,4,-23
1/27/2019,4,-12
1/28/2019,21,2
1/29/2019,6,-18
1/30/2019,-10,-26
1/31/2019,-5,-26
2/1/2019,15,-6
2/2/2019,39,12
2/3/2019,42,37
2/4/2019,45,20
2/5/2019,27,19
2/6/2019,30,22
2/7/2019,31,6
2/8/2019,8,-2
2/9/2019,18,-2
2/10/2019,27,18
2/11/2019,29,23
2/12/2019,29,22
2/13/2019,26,15
2/14/2019,41,19
2/15/2019,19,2
2/16/2019,24,-3
2/17/2019,25,18
